Title,Genres,Release Year,Budget ($),Revenue ($),Vote Average,Vote Count,Return on Investment,Profit ($),,,,
Club Dread,Comedy,2004,8500000,5001655,5.1,107,-0.41,-3498345,,,,
Ray,Drama,2004,40000000,124731534,7.2,467,2.12,84731534,,,,
Confessions of a Teenage Drama Queen,Comedy,2004,15000000,29331068,5.1,221,0.96,14331068,,,,
Johnson Family Vacation,Comedy,2004,12000000,31179516,4.7,30,1.60,19179516,,,,
The Manchurian Candidate,Drama,2004,80000000,96105964,6.2,393,0.20,16105964,,,,
EuroTrip,Comedy,2004,25000000,20796847,6.5,656,-0.17,-4203153,,,,
Secret Window,Thriller,2004,40000000,92913171,6.4,972,1.32,52913171,,,,
Before Sunset,Drama,2004,2700000,15992615,7.6,718,4.92,13292615,,,,
Laws of Attraction,Action,2004,28000000,30016165,5.6,104,0.07,2016165,,,,
Fahrenheit 9/11,Documentary,2004,6000000,119114517,6.8,397,18.85,113114517,,,,
A Home at the End of the World,Romance,2004,6500000,1548955,6.8,45,-0.76,-4951045,,,,
Eternal Sunshine of the Spotless Mind,Sci-Fi,2004,20000000,72258126,7.9,3652,2.61,52258126,,,,
Paparazzi,Action,2004,20000000,16605763,5.8,52,-0.17,-3394237,,,,
Kung Fu Hustle,Action,2004,20000000,100914445,7.2,831,4.05,80914445,,,,
Million Dollar Baby,Drama,2004,30000000,216763646,7.7,2439,6.23,186763646,,,,
The Notebook,Romance,2004,29000000,115603229,7.7,3067,2.99,86603229,,,,
DodgeBall: A True Underdog Story,Comedy,2004,20000000,167722310,6.2,981,7.39,147722310,,,,
The Bourne Supremacy,Action,2004,75000000,288500217,7.2,2825,2.85,213500217,,,,
Anacondas: The Hunt for the Blood Orchid,Adventure,2004,20000000,70992898,4.9,199,2.55,50992898,,,,
Kill Bill: Vol. 2,Action,2004,30000000,152159461,7.6,3948,4.07,122159461,,,,
Saw,Horror,2004,1200000,103911669,7.2,2184,85.59,102711669,,,,
After the Sunset,Action,2004,60000000,61347797,6,226,0.02,1347797,,,,
The Alamo,Western,2004,145000000,25819961,5.8,106,-0.82,-119180039,,,,
The Incredibles,Action,2004,92000000,631442092,7.4,5152,5.86,539442092,,,,
Anchorman: The Legend of Ron Burgundy,Comedy,2004,26000000,90574188,6.7,1493,2.48,64574188,,,,
13 Going on 30,Comedy,2004,37000000,96455697,6.3,1204,1.61,59455697,,,,
Without a Paddle,Action,2004,19000000,69631118,5.3,214,2.66,50631118,,,,
Cellular,Action,2004,25000000,56422687,6.1,537,1.26,31422687,,,,
Finding Neverland,Drama,2004,25000000,116766556,7.2,1223,3.67,91766556,,,,
Open Water,Drama,2004,130000,54667954,5.4,315,419.52,54537954,,,,
The Punisher,Action,2004,33000000,54700105,6.1,766,0.66,21700105,,,,
District B13,Action,2004,12000000,9584131,6.5,565,-0.20,-2415869,,,,
Meet the Fockers,Comedy,2004,80000000,516642939,6.1,1373,5.46,436642939,,,,
Ladder 49,Drama,2004,60000000,74541707,6.2,207,0.24,14541707,,,,
Layer Cake,Drama,2004,6500000,11850214,7,559,0.82,5350214,,,,
Alfie,Comedy,2004,60000000,13395939,5.6,248,-0.78,-46604061,,,,
Team America: World Police,Music,2004,32000000,50907422,6.6,660,0.59,18907422,,,,
Mean Creek,Crime,2004,500000,603943,6.9,106,0.21,103943,,,,
Shall We Dance?,Drama,2004,50000000,170128460,5.9,297,2.40,120128460,,,,
Torque,Action,2004,40000000,46546197,4.7,119,0.16,6546197,,,,
Raise Your Voice,Music,2004,15000000,14867514,6,211,-0.01,-132486,,,,
Along Came Polly,Comedy,2004,42000000,171963386,5.8,773,3.09,129963386,,,,
Soul Plane,Romance,2004,16000000,14822346,4.7,108,-0.07,-1177654,,,,
Garden State,Comedy,2004,2500000,26781723,7.1,618,9.71,24281723,,,,
Riding Giants,Documentary,2004,2600000,3166000,7.6,23,0.22,566000,,,,
Catwoman,Action,2004,100000000,82102379,4.2,808,-0.18,-17897621,,,,
National Treasure,Adventure,2004,100000000,347451894,6.4,1926,2.47,247451894,,,,
The Grudge,Horror,2004,10000000,183474602,5.8,865,17.35,173474602,,,,
The Stepford Wives,Action,2004,90000000,102000000,5.4,334,0.13,12000000,,,,
Mr. 3000,Comedy,2004,30000000,21800302,5,66,-0.27,-8199698,,,,
The Passion of the Christ,Drama,2004,30000000,611899420,6.9,864,19.40,581899420,,,,
Walking Tall,Adventure,2004,56000000,57223890,6,381,0.02,1223890,,,,
Thunderbirds,Action,2004,57000000,28283637,4.2,91,-0.50,-28716363,,,,
The Princess Diaries 2: Royal Engagement,Comedy,2004,40000000,95149435,6,697,1.38,55149435,,,,
A Cinderella Story,Comedy,2004,19000000,70067909,6.1,713,2.69,51067909,,,,
Sideways,Comedy,2004,16000000,109502303,6.9,478,5.84,93502303,,,,
Little Black Book,Comedy,2004,35000000,22034832,5.2,112,-0.37,-12965168,,,,
Hidalgo,Western,2004,100000000,108103450,6.5,318,0.08,8103450,,,,
It's All Gone Pete Tong,Drama,2004,2000000,120620,7.1,52,-0.94,-1879380,,,,
Win a Date with Tad Hamilton!,Comedy,2004,17000000,16980098,5.5,160,0.00,-19902,,,,
Wimbledon,Comedy,2004,31000000,41512007,6,293,0.34,10512007,,,,
Ella Enchanted,Family,2004,31000000,27388767,5.9,437,-0.12,-3611233,,,,
Jersey Girl,Comedy,2004,35000000,36098382,5.8,325,0.03,1098382,,,,
Flight of the Phoenix,Action,2004,45000000,21009180,5.7,276,-0.53,-23990820,,,,
Closer,Drama,2004,27000000,115505027,6.7,811,3.28,88505027,,,,
Exorcist: The Beginning,Horror,2004,80000000,78000586,4.7,183,-0.02,-1999414,,,,
The Terminal,Comedy,2004,60000000,219417255,7,1910,2.66,159417255,,,,
The Work and the Glory,Drama,2004,7500000,3347647,6.1,7,-0.55,-4152353,,,,
Spanglish,Comedy,2004,80000000,55041367,5.8,369,-0.31,-24958633,,,,
Vanity Fair,Drama,2004,23000000,16123851,5.5,73,-0.30,-6876149,,,,
Howl's Moving Castle,Fantasy,2004,24000000,234710455,8.2,1991,8.78,210710455,,,,
White Chicks,Comedy,2004,37000000,113086475,6.3,679,2.06,76086475,,,,
Shark Tale,Animation,2004,75000000,367275019,5.8,1557,3.90,292275019,,,,
50 First Dates,Comedy,2004,75000000,196482882,6.6,2105,1.62,121482882,,,,
Against the Ropes,Romance,2004,39000000,6614280,4.5,32,-0.83,-32385720,,,,
Blade: Trinity,Sci-Fi,2004,65000000,128905366,5.7,1252,0.98,63905366,,,,
The Phantom of the Opera,Thriller,2004,70000000,154648887,7,438,1.21,84648887,,,,
Welcome to Mooseport,Comedy,2004,30000000,14000000,4.8,54,-0.53,-16000000,,,,
Woman Thou Art Loosed,Drama,2004,3000000,6804016,5,3,1.27,3804016,,,,
Connie and Carla,Comedy,2004,20000000,11341016,6.4,24,-0.43,-8658984,,,,
Harold & Kumar Go to White Castle,Comedy,2004,9000000,23936908,6.6,693,1.66,14936908,,,,
"I, Robot",Action,2004,120000000,347234916,6.7,3793,1.89,227234916,,,,
Agent Cody Banks 2: Destination London,Comedy,2004,26000000,28818995,5.2,144,0.11,2818995,,,,
The Aviator,Drama,2004,116000000,102000000,7,1489,-0.12,-14000000,,,,
Home on the Range,Animation,2004,110000000,103951461,5.7,389,-0.05,-6048539,,,,
Ocean's Twelve,Thriller,2004,110000000,362744280,6.4,2124,2.30,252744280,,,,
Around the World in 80 Days,Action,2004,110000000,72178895,5.7,672,-0.34,-37821105,,,,
Resident Evil: Apocalypse,Horror,2004,45000000,129394835,6.1,1267,1.88,84394835,,,,
Mean Girls,Comedy,2004,17000000,129042871,6.9,2320,6.59,112042871,,,,
Barbershop 2:  Back in Business,Comedy,2004,18000000,65070412,5.6,74,2.62,47070412,,,,
Garfield,Animation,2004,50000000,200804534,5.2,820,3.02,150804534,,,,
Catch That Kid,Family,2004,18000000,16702864,4.9,76,-0.07,-1297136,,,,
Shaun of the Dead,Horror,2004,4000000,30039392,7.5,2420,6.51,26039392,,,,
Bridget Jones: The Edge of Reason,Comedy,2004,50000000,40203020,6.1,750,-0.20,-9796980,,,,
The Big Bounce,Comedy,2004,50000000,6808550,5,76,-0.86,-43191450,,,,
Hotel Rwanda,Drama,2004,17500000,38000000,7.5,793,1.17,20500000,,,,
The Machinist,Thriller,2004,5000000,8203235,7.3,1247,0.64,3203235,,,,
The Polar Express,Adventure,2004,165000000,305875730,6.4,1474,0.85,140875730,,,,
Crash,Drama,2004,6500000,98410061,7.2,1149,14.14,91910061,,,,
Primer,Sci-Fi,2004,7000,424760,6.9,658,59.68,417760,,,,
Spider-Man 2,Action,2004,200000000,783766341,6.7,4321,2.92,583766341,,,,
Raising Helen,Drama,2004,50000000,49718611,5.9,189,-0.01,-281389,,,,
Mindhunters,Mystery,2004,27000000,21148829,6.3,333,-0.22,-5851171,,,,
Suspect Zero,Crime,2004,27000000,13000000,5.5,98,-0.52,-14000000,,,,
The Life Aquatic with Steve Zissou,Adventure,2004,50000000,34808403,7.1,775,-0.30,-15191597,,,,
Alexander,War,2004,155000000,167298192,5.6,927,0.08,12298192,,,,
Godsend,Drama,2004,25000000,30114487,4.7,114,0.20,5114487,,,,
Troy,Adventure,2004,175000000,497409852,6.9,2759,1.84,322409852,,,,
Harry Potter and the Prisoner of Azkaban,Adventure,2004,130000000,789804554,7.7,5877,5.08,659804554,,,,
Master and Commander: The Far Side of the World,Adventure,2003,150000000,212011111,6.9,790,0.41,62011111,,,,
The Last Samurai,Drama,2003,140000000,456758981,7.3,1895,2.26,316758981,,,,
Bad Boys II,Adventure,2003,130000000,273339556,6.3,1564,1.10,143339556,,,,
S.W.A.T.,Action,2003,80000000,116643346,5.8,770,0.46,36643346,,,,
The Matrix Revolutions,Adventure,2003,150000000,424988211,6.4,3096,1.83,274988211,,,,
The Matrix Reloaded,Adventure,2003,150000000,738599701,6.7,3443,3.92,588599701,,,,
Terminator 3: Rise of the Machines,Action,2003,200000000,435000000,5.9,2143,1.18,235000000,,,,
Charlie's Angels: Full Throttle,Action,2003,120000000,259175788,5.2,914,1.16,139175788,,,,
X2,Adventure,2003,110000000,407711549,6.8,3506,2.71,297711549,,,,
Alex & Emma,Comedy,2003,30000000,15368897,5,68,-0.49,-14631103,,,,
Finding Nemo,Animation,2003,94000000,940335536,7.6,6122,9.00,846335536,,,,
The Lord of the Rings: The Return of the King,Adventure,2003,94000000,1118888979,8.1,8064,10.90,1024888979,,,,
Oldboy,Drama,2003,3000000,14980005,8,1945,3.99,11980005,,,,
Once Upon a Time in Mexico,Action,2003,29000000,98185582,6.2,594,2.39,69185582,,,,
Identity,Mystery,2003,30000000,90259536,7.1,1061,2.01,60259536,,,,
Tears of the Sun,Action,2003,70000000,85632458,6.4,573,0.22,15632458,,,,
Tupac: Resurrection,Music,2003,300000,7808524,8,26,25.03,7508524,,,,
Underworld,Fantasy,2003,22000000,95708457,6.6,2512,3.35,73708457,,,,
School of Rock,Comedy,2003,35000000,131282949,6.7,1414,2.75,96282949,,,,
Bringing Down the House,Comedy,2003,20000000,132675402,5.4,183,5.63,112675402,,,,
Bad Santa,Drama,2003,23000000,76488889,6.5,656,2.33,53488889,,,,
House of Sand and Fog,Drama,2003,16500000,16942795,7,199,0.03,442795,,,,
Stuck on You,Comedy,2003,55000000,33828318,5.1,188,-0.38,-21171682,,,,
Dumb and Dumberer: When Harry Met Lloyd,Comedy,2003,19000000,39267515,4.1,210,1.07,20267515,,,,
Freddy vs. Jason,Horror,2003,30000000,114908830,5.8,594,2.83,84908830,,,,
Just Married,Comedy,2003,18000000,101564935,5.3,404,4.64,83564935,,,,
The Visual Bible: The Gospel of John,Drama,2003,10000000,4069090,8.2,12,-0.59,-5930910,,,,
Veronica Guerin,Drama,2003,17000000,1569918,6.8,59,-0.91,-15430082,,,,
Gods and Generals,Drama,2003,56000000,12923936,6.1,48,-0.77,-43076064,,,,
The Hunted,Drama,2003,55000000,34234008,6,189,-0.38,-20765992,,,,
Agent Cody Banks,Action,2003,28000000,58795814,5,284,1.10,30795814,,,,
Seabiscuit,Drama,2003,87000000,148336445,6.7,216,0.71,61336445,,,,
The Haunted Mansion,Thriller,2003,90000000,182290266,5.2,466,1.03,92290266,,,,
Lara Croft Tomb Raider: The Cradle of Life,Action,2003,95000000,156505388,5.5,1418,0.65,61505388,,,,
Old School,Comedy,2003,24000000,87055349,6.6,541,2.63,63055349,,,,
Big Fish,Adventure,2003,70000000,122919055,7.6,1994,0.76,52919055,,,,
2 Fast 2 Furious,Action,2003,76000000,236350661,6.2,2028,2.11,160350661,,,,
Radio,Drama,2003,32000000,52277485,6.8,141,0.63,20277485,,,,
A Man Apart,Action,2003,36000000,44350926,5.8,258,0.23,8350926,,,,
The League of Extraordinary Gentlemen,Fantasy,2003,78000000,179265204,5.7,1155,1.30,101265204,,,,
Timeline,Action,2003,80000000,19480739,5.4,318,-0.76,-60519261,,,,
Hollywood Homicide,Action,2003,75000000,51142659,5,166,-0.32,-23857341,,,,
Johnny English,Adventure,2003,40000000,160583018,6,852,3.01,120583018,,,,
Latter Days,Drama,2003,850000,819939,6.7,56,-0.04,-30061,,,,
"Legally Blonde 2: Red, White & Blonde",Comedy,2003,45000000,124914842,5.1,377,1.78,79914842,,,,
Marci X,Comedy,2003,20000000,1675706,3.3,12,-0.92,-18324294,,,,
Jeepers Creepers 2,Horror,2003,17000000,63102666,5.5,299,2.71,46102666,,,,
Cradle 2 the Grave,Action,2003,25000000,56489558,5.8,236,1.26,31489558,,,,
Mambo Italiano,Comedy,2003,4361898,3031801,5.6,28,-0.30,-1330097,,,,
Wonderland,Crime,2003,5000000,2466444,6.2,73,-0.51,-2533556,,,,
21 Grams,Drama,2003,20000000,60427839,7.2,918,2.02,40427839,,,,
A Guy Thing,Comedy,2003,20000000,17432163,5.3,83,-0.13,-2567837,,,,
Mystic River,Thriller,2003,25000000,156822020,7.6,1422,5.27,131822020,,,,
The Jungle Book 2,Family,2003,20000000,135680000,5.6,269,5.78,115680000,,,,
The Station Agent,Drama,2003,500000,8679814,7.4,210,16.36,8179814,,,,
Duplex,Action,2003,40000000,19322135,5.9,482,-0.52,-20677865,,,,
Whale Rider,Drama,2003,8000000,41400000,7.1,111,4.18,33400000,,,,
Swimming Pool,Thriller,2003,7800000,22441323,6.4,153,1.88,14641323,,,,
The Mudge Boy,Drama,2003,800000,62852,7.3,23,-0.92,-737148,,,,
Kill Bill: Vol. 1,Action,2003,30000000,180949000,7.7,4949,5.03,150949000,,,,
American Wedding,Comedy,2003,55000000,231449203,6,1129,3.21,176449203,,,,
"Good bye, Lenin!",Comedy,2003,4800000,79384880,7.4,586,15.54,74584880,,,,
Paycheck,Action,2003,60000000,96269812,5.9,581,0.60,36269812,,,,
Cold Mountain,Drama,2003,79000000,173013509,6.7,533,1.19,94013509,,,,
Something's Gotta Give,Drama,2003,80000000,266728738,6.3,410,2.33,186728738,,,,
Cheaper by the Dozen,Comedy,2003,40000000,190212113,6,699,3.76,150212113,,,,
The Core,Action,2003,60000000,74208267,5.4,516,0.24,14208267,,,,
The Rundown,Adventure,2003,85000000,80916492,6.4,514,-0.05,-4083508,,,,
The Lizzie McGuire Movie,Family,2003,17000000,55534455,5.7,280,2.27,38534455,,,,
Shattered Glass,Drama,2003,6000000,2944752,6.6,111,-0.51,-3055248,,,,
Sinbad: Legend of the Seven Seas,Family,2003,60000000,26288320,6.6,372,-0.56,-33711680,,,,
Spy Kids 3-D: Game Over,Action,2003,38000000,197011982,4.7,511,4.18,159011982,,,,
The Order,Drama,2003,35000000,11560806,4.8,91,-0.67,-23439194,,,,
A Mighty Wind,Comedy,2003,6000000,18750246,6.6,74,2.13,12750246,,,,
From Justin to Kelly,Comedy,2003,12000000,4922166,3,23,-0.59,-7077834,,,,
The Triplets of Belleville,Adventure,2003,8000000,1477676,7.3,231,-0.82,-6522324,,,,
Thirteen,Crime,2003,2000000,4601043,6.7,339,1.30,2601043,,,,
Gothika,Horror,2003,40000000,141591324,5.8,629,2.54,101591324,,,,
Intolerable Cruelty,Crime,2003,60000000,119940815,5.8,391,1.00,59940815,,,,
Daddy Day Care,Comedy,2003,60000000,164433867,5.6,506,1.74,104433867,,,,
The Italian Job,Action,2003,60000000,176070171,6.6,1919,1.93,116070171,,,,
Bruce Almighty,Fantasy,2003,80000000,484572835,6.4,3012,5.06,404572835,,,,
Looney Tunes: Back in Action,Animation,2003,80000000,68514844,5.6,297,-0.14,-11485156,,,,
"The Book of Mormon Movie, Volume 1: The Journey",Unknown,2003,2000000,1672730,5,2,-0.16,-327270,,,,
Elf,Comedy,2003,32000000,173398518,6.4,987,4.42,141398518,,,,
House of 1000 Corpses,Horror,2003,7000000,16829545,6,306,1.40,9829545,,,,
Lost in Translation,Drama,2003,4000000,119723856,7.3,1895,28.93,115723856,,,,
Dreamcatcher,Drama,2003,68000000,75715436,5.3,567,0.11,7715436,,,,
Hulk,Drama,2003,137000000,245360480,5.3,1533,0.79,108360480,,,,
Shanghai Knights,Action,2003,50000000,88323487,6,692,0.77,38323487,,,,
Gigli,Drama,2003,54000000,7266209,3.5,104,-0.87,-46733791,,,,
Wrong Turn,Horror,2003,12600000,28650575,6,635,1.27,16050575,,,,
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,2003,140000000,655011224,7.5,6985,3.68,515011224,,,,
Party Monster,Comedy,2003,5000000,742898,5.9,58,-0.85,-4257102,,,,
Honey,Romance,2003,18000000,62646763,6,303,2.48,44646763,,,,
Out of Time,Thriller,2003,50000000,55495563,6.1,298,0.11,5495563,,,,
How to Lose a Guy in 10 Days,Comedy,2003,50000000,177371441,6.3,850,2.55,127371441,,,,
Monster,Crime,2003,8000000,60378584,7,485,6.55,52378584,,,,
Love Actually,Comedy,2003,40000000,244931766,7,1869,5.12,204931766,,,,
Scary Movie 3,Comedy,2003,48000000,220673217,5.8,912,3.60,172673217,,,,
The Barbarian Invasions,Comedy,2003,8000000,3432342,6.7,77,-0.57,-4567658,,,,
The Life of David Gale,Drama,2003,50000000,38955598,7.3,480,-0.22,-11044402,,,,
Basic,Action,2003,50000000,42792561,6.2,286,-0.14,-7207439,,,,
Final Destination 2,Horror,2003,26000000,90426405,5.9,1023,2.48,64426405,,,,
Freaky Friday,Comedy,2003,26000000,110230332,6,879,3.24,84230332,,,,
Open Range,Western,2003,22000000,68296293,7,262,2.10,46296293,,,,
Adaptation.,Comedy,2002,19000000,32801173,7.3,638,0.73,13801173,,,,
Blood Work,Crime,2002,50000000,26199517,6.1,206,-0.48,-23800483,,,,
Changing Lanes,Action,2002,45000000,94935764,5.9,299,1.11,49935764,,,,
My Big Fat Greek Wedding,Comedy,2002,5000000,368744044,6.2,671,72.75,363744044,,,,
Unfaithful,Thriller,2002,50000000,119137784,6.3,276,1.38,69137784,,,,
Catch Me If You Can,Drama,2002,52000000,352114312,7.7,3795,5.77,300114312,,,,
Jackass: The Movie,Documentary,2002,5000000,64282312,6.1,345,11.86,59282312,,,,
Star Wars: Episode II - Attack of the Clones,Adventure,2002,120000000,649398328,6.4,3992,4.41,529398328,,,,
Salton Sea,Drama,2002,18000000,676698,7,104,-0.96,-17323302,,,,
Murder by Numbers,Crime,2002,50000000,56714147,6,268,0.13,6714147,,,,
Panic Room,Crime,2002,48000000,196397415,6.5,1267,3.09,148397415,,,,
Moonlight Mile,Romance,2002,21000000,10011050,6.5,52,-0.52,-10988950,,,,
The Santa Clause 2,Fantasy,2002,65000000,172855065,5.5,297,1.66,107855065,,,,
Ice Age,Animation,2002,59000000,383257136,7.1,3857,5.50,324257136,,,,
The Sum of All Fears,Thriller,2002,68000000,193000000,5.9,437,1.84,125000000,,,,
Ballistic: Ecks vs. Sever,Action,2002,70000000,19924033,4.3,97,-0.72,-50075967,,,,
Bad Company,Action,2002,70000000,65977295,5.4,228,-0.06,-4022705,,,,
Signs,Drama,2002,72000000,408247917,6.4,1599,4.67,336247917,,,,
xXx,Action,2002,70000000,277448382,5.8,1424,2.96,207448382,,,,
Mondays in the Sun,Drama,2002,4000000,146402,7.1,36,-0.96,-3853598,,,,
May,Drama,2002,500000,150277,6.3,152,-0.70,-349723,,,,
The Rookie,Drama,2002,20000000,75597042,6.5,110,2.78,55597042,,,,
Secretary,Comedy,2002,4000000,9304609,6.7,376,1.33,5304609,,,,
One Hour Photo,Horror,2002,12000000,52223306,6.6,435,3.35,40223306,,,,
The Time Machine,Sci-Fi,2002,80000000,123729176,5.8,631,0.55,43729176,,,,
The Quiet American,Drama,2002,30000000,27674124,6.4,81,-0.08,-2325876,,,,
Star Trek: Nemesis,Sci-Fi,2002,60000000,67312826,6.1,479,0.12,7312826,,,,
Analyze That,Comedy,2002,60000000,55003135,5.7,380,-0.08,-4996865,,,,
Reign of Fire,Adventure,2002,60000000,43061982,6,669,-0.28,-16938018,,,,
The Good Girl,Drama,2002,8000000,16856124,6.1,181,1.11,8856124,,,,
Hero,Drama,2002,31000000,177394432,7.2,635,4.72,146394432,,,,
Return to Never Land,Adventure,2002,20000000,109862682,6.1,290,4.49,89862682,,,,
Abandon,Drama,2002,25000000,10719357,4.6,45,-0.57,-14280643,,,,
Femme Fatale,Thriller,2002,35000000,16838910,6.2,142,-0.52,-18161090,,,,
Spirit: Stallion of the Cimarron,Western,2002,80000000,122563539,7.4,831,0.53,42563539,,,,
The Count of Monte Cristo,Action,2002,35000000,75395048,7.3,453,1.15,40395048,,,,
City By The Sea,Crime,2002,40000000,22433915,5.7,92,-0.44,-17566085,,,,
Ghost Ship,Horror,2002,35000000,68349884,5.3,531,0.95,33349884,,,,
Big Fat Liar,Comedy,2002,15000000,52970014,5.6,197,2.53,37970014,,,,
Undisputed,Action,2002,20000000,12398628,6.1,139,-0.38,-7601372,,,,
Scooby-Doo,Mystery,2002,84000000,275650703,5.4,820,2.28,191650703,,,,
Halloween: Resurrection,Horror,2002,13000000,37664855,4.5,228,1.90,24664855,,,,
Full Frontal,Comedy,2002,2000000,2506446,4.8,26,0.25,506446,,,,
Road to Perdition,Thriller,2002,80000000,181001478,7.3,1077,1.26,101001478,,,,
Lilo & Stitch,Animation,2002,80000000,145771527,7.1,1314,0.82,65771527,,,,
Brown Sugar,Comedy,2002,8000000,27362712,7,31,2.42,19362712,,,,
28 Days Later,Horror,2002,5000000,82719885,7.1,1777,15.54,77719885,,,,
National Lampoon’s Van Wilder,Comedy,2002,5000000,38275483,5.9,858,6.66,33275483,,,,
The Scorpion King,Action,2002,60000000,165333180,5.3,779,1.76,105333180,,,,
About Schmidt,Drama,2002,30000000,105834556,6.7,362,2.53,75834556,,,,
Raising Victor Vargas,Drama,2002,800000,2816116,7.8,13,2.52,2016116,,,,
Maid in Manhattan,Comedy,2002,55000000,154906693,5.6,485,1.82,99906693,,,,
The Spanish Apartment,Drama,2002,5300000,3897799,7,266,-0.26,-1402201,,,,
A Walk to Remember,Drama,2002,11000000,41227069,7.5,1018,2.75,30227069,,,,
K-19: The Widowmaker,Drama,2002,100000000,35168966,6.1,264,-0.65,-64831034,,,,
The Sweetest Thing,Romance,2002,43000000,68696770,5.3,280,0.60,25696770,,,,
Big Trouble,Action,2002,40000000,8493890,6.3,80,-0.79,-31506110,,,,
The Hours,Drama,2002,25000000,41597830,7,451,0.66,16597830,,,,
Undercover Brother,Action,2002,25000000,41604473,5.5,112,0.66,16604473,,,,
City of God,Drama,2002,3300000,30641770,8.1,1814,8.29,27341770,,,,
Collateral Damage,Action,2002,85000000,78382433,5.5,427,-0.08,-6617567,,,,
All About the Benjamins,Action,2002,14000000,25482931,5.8,48,0.82,11482931,,,,
Auto Focus,Drama,2002,7000000,2062066,6.1,56,-0.71,-4937934,,,,
Enough,Drama,2002,38000000,51801187,6.2,264,0.36,13801187,,,,
Boat Trip,Comedy,2002,20000000,8586376,4.7,146,-0.57,-11413624,,,,
Dark Blue,Action,2002,15000000,9237470,6.5,85,-0.38,-5762530,,,,
Two Weeks Notice,Romance,2002,60000000,93354918,5.9,487,0.56,33354918,,,,
The Bourne Identity,Action,2002,60000000,214034224,7.3,3583,2.57,154034224,,,,
Austin Powers in Goldmember,Comedy,2002,63000000,296655431,5.9,979,3.71,233655431,,,,
Extreme Ops,Action,2002,40000000,10959475,5,28,-0.73,-29040525,,,,
Life or Something Like It,Comedy,2002,40000000,16872671,5.7,124,-0.58,-23127329,,,,
FearDotCom,Horror,2002,40000000,18902015,3.2,105,-0.53,-21097985,,,,
Punch-Drunk Love,Comedy,2002,25000000,17000000,6.9,530,-0.32,-8000000,,,,
25th Hour,Crime,2002,15000000,13060843,7.2,629,-0.13,-1939157,,,,
Slackers,Comedy,2002,14000000,6413915,5.4,60,-0.54,-7586085,,,,
Phone Booth,Thriller,2002,13000000,97837138,6.7,1062,6.53,84837138,,,,
8 Mile,Drama,2002,41000000,215000000,6.8,1626,4.24,174000000,,,,
Chicago,Action,2002,45000000,306776732,6.9,677,5.82,261776732,,,,
Bend It Like Beckham,Comedy,2002,3500159,76578641,6.2,578,20.88,73078482,,,,
Bowling for Columbine,Documentary,2002,4000000,35564473,7.3,453,7.89,31564473,,,,
Equilibrium,Action,2002,20000000,5359645,6.9,1552,-0.73,-14640355,,,,
Swimfan,Drama,2002,8500000,34411240,5,70,3.05,25911240,,,,
I Spy,Action,2002,70000000,33561137,5.2,269,-0.52,-36438863,,,,
Hart's War,Drama,2002,70000000,32287044,5.9,241,-0.54,-37712956,,,,
Far from Heaven,Drama,2002,13500000,29027914,6.9,144,1.15,15527914,,,,
Red Dragon,Crime,2002,78000000,209196298,6.7,1115,1.68,131196298,,,,
Frida,Drama,2002,12000000,56298474,7.3,383,3.69,44298474,,,,
Crossroads,Action,2002,12000000,61141030,4.7,158,4.10,49141030,,,,
Barbershop,Comedy,2002,12000000,75781642,6.2,137,5.32,63781642,,,,
Antwone Fisher,Drama,2002,12500000,23367586,6.7,137,0.87,10867586,,,,
The Four Feathers,War,2002,35000000,29882645,6.5,159,-0.15,-5117355,,,,
Queen of the Damned,Drama,2002,35000000,45479110,5.4,239,0.30,10479110,,,,
We Were Soldiers,Action,2002,75000000,114660784,6.7,521,0.53,39660784,,,,
The Transporter,Action,2002,21000000,43928932,6.6,1692,1.09,22928932,,,,
Sweet Home Alabama,Comedy,2002,30000000,180622424,6,394,5.02,150622424,,,,
Spy Kids 2: The Island of Lost Dreams,Action,2002,38000000,119723358,5.3,521,2.15,81723358,,,,
Dragonfly,Drama,2002,60000000,52322400,6.1,204,-0.13,-7677600,,,,
D-Tox,Action,2002,55000000,6416302,5.3,123,-0.88,-48583698,,,,
Blade II,Fantasy,2002,54000000,155010032,6.2,1528,1.87,101010032,,,,
Insomnia,Crime,2002,46000000,113714830,6.8,1148,1.47,67714830,,,,
Tadpole,Comedy,2002,150000,2891288,5.5,19,18.28,2741288,,,,
Gangs of New York,Drama,2002,100000000,193772504,7.1,1910,0.94,93772504,,,,
The Adventures of Pluto Nash,Action,2002,100000000,7103973,4.4,142,-0.93,-92896027,,,,
Treasure Planet,Adventure,2002,140000000,109578115,7.2,948,-0.22,-30421885,,,,
Friday After Next,Comedy,2002,20000000,33526835,6,100,0.68,13526835,,,,
Mr. Deeds,Comedy,2002,50000000,171269535,5.6,644,2.43,121269535,,,,
Clockstoppers,Adventure,2002,26000000,38793283,4.9,89,0.49,12793283,,,,
Minority Report,Action,2002,102000000,358372926,7.1,2608,2.51,256372926,,,,
Harry Potter and the Chamber of Secrets,Adventure,2002,100000000,876688482,7.4,5815,7.77,776688482,,,,
Drumline,Drama,2002,20000000,57588485,6.2,116,1.88,37588485,,,,
Narc,Action,2002,6500000,12633747,6.8,142,0.94,6133747,,,,
Men with Brooms,Comedy,2002,7500000,4245870,4.5,7,-0.43,-3254130,,,,
John Q,Drama,2002,36000000,102244770,7,594,1.84,66244770,,,,
